#x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2
16.2772899;-365.0364346;7.8460222;7.4539778;-0.9663317;-0.2572995;-3.0465126;366.5189914;-2.7954133;0.0031371;59.275687;-3.1498449
17.8936384;-370.8072935;7.8495488;7.4504512;-0.9593302;-0.2822862;-3.5465499;372.4475464;-2.7765258;0.0031606;58.9582061;-3.0871171
19.6633747;-376.5343205;7.8383547;7.4616453;-0.9512738;-0.3083474;-3.9985099;378.3562146;-2.757446;0.0032119;58.6449063;-3.0400904
21.592338;-382.2129232;7.819566;7.480434;-0.9422536;-0.3349002;-4.3972334;384.2493609;-2.7381872;0.0032168;58.3343245;-3.0058882
23.6811515;-387.8369272;7.8027423;7.4972577;-0.9324057;-0.3614134;-4.7410688;390.1296517;-2.7188001;0.0032479;58.0253436;-2.9775576
25.9291337;-393.3997619;7.8670825;7.4329175;-0.9217013;-0.3879003;-5.0294432;395.9971398;-2.6992291;0.0032779;57.7177177;-2.9431856
28.335603;-398.894857;7.9953528;7.3046472;-0.9101081;-0.4143708;-5.2615472;401.8520609;-2.6794813;0.0033071;57.4123951;-2.8937221
30.8998779;-404.3156419;8.1046914;7.1953086;-0.8975875;-0.4408363;-5.4363202;407.6948551;-2.6595184;0.0033671;57.1110135;-2.8370625
33.6207884;-409.6560395;8.0098622;7.2901378;-0.8843431;-0.4668375;-5.5539517;413.5293951;-2.63925;0.0033581;56.8137368;-2.798292
36.491483;-414.9157079;7.8318349;7.4681651;-0.8711752;-0.4909722;-5.6208395;419.3683451;-2.6190087;0.0033886;56.5182784;-2.7791258
39.5014434;-420.0980067;7.6562589;7.6437411;-0.8582857;-0.5131721;-5.648105;425.2168725;-2.5985925;0.0034189;56.2231086;-2.7639227
42.6400902;-425.2063573;7.584052;7.715948;-0.8458073;-0.5334885;-5.6475368;431.0778399;-2.5779953;0.0034491;55.9281359;-2.7445585
45.896844;-430.2441811;7.6480318;7.6519682;-0.8338549;-0.5519837;-5.6310061;436.9526207;-2.5572406;0.0034566;55.6341727;-2.71214
49.2613225;-435.2147558;7.7137349;7.5862651;-0.8223892;-0.5689252;-5.6096002;442.8399801;-2.5434477;0.0034745;55.4396999;-2.6713191
52.7276778;-440.118049;7.7818823;7.5181177;-0.8106287;-0.5855606;-5.5893705;448.7308673;-2.522397;0.0035291;55.1528489;-2.5761501
56.2945981;-444.9507177;7.8227889;7.4772111;-0.7984242;-0.6020953;-5.571238;454.6227856;-2.5011367;0.0035598;54.8768043;-2.4230518
59.9609689;-449.7092748;7.8571906;7.4428094;-0.7857611;-0.6185301;-5.5551611;460.5146683;-2.4796956;0.0035891;54.6179123;-2.222463
63.7256755;-454.3902331;7.8929584;7.4070416;-0.7726237;-0.6348642;-5.5408952;466.4055281;-2.4580915;0.0036136;54.3803557;-2.0186843
67.5876034;-458.9901057;7.9327779;7.3672221;-0.758996;-0.6510953;-5.5278915;472.2944681;-2.4363667;0.0036286;54.1628004;-1.8683233
71.5456379;-463.5054053;7.9763533;7.3236467;-0.7448615;-0.6672191;-5.5151577;478.1806972;-2.4145884;0.0036314;53.9586987;-1.776314
